track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sueño en Paraguay - El Búho Remix,Chancha Via Circuito,spotify:track:24Ppb6GaBRREID9uMlTTSg,0.663,0.799,8,-5.992,0,0.0352,0.0722,0.9,0.103,0.3,90.792,audio_features,24Ppb6GaBRREID9uMlTTSg,spotify:track:24Ppb6GaBRREID9uMlTTSg,https://api.spotify.com/v1/tracks/24Ppb6GaBRREID9uMlTTSg,https://api.spotify.com/v1/audio-analysis/24Ppb6GaBRREID9uMlTTSg,239417,4
Sueño en Paraguay - El Búho Remix,El Búho,spotify:track:24Ppb6GaBRREID9uMlTTSg,0.663,0.799,8,-5.992,0,0.0352,0.0722,0.9,0.103,0.3,90.792,audio_features,24Ppb6GaBRREID9uMlTTSg,spotify:track:24Ppb6GaBRREID9uMlTTSg,https://api.spotify.com/v1/tracks/24Ppb6GaBRREID9uMlTTSg,https://api.spotify.com/v1/audio-analysis/24Ppb6GaBRREID9uMlTTSg,239417,4
Guacamayo Ara Macao,La Gallera Social Club,spotify:track:3dTjTtdewJ6T1Q8VjRibZh,0.803,0.584,11,-8.563,0,0.123,0.0241,0.574,0.0847,0.713,95.002,audio_features,3dTjTtdewJ6T1Q8VjRibZh,spotify:track:3dTjTtdewJ6T1Q8VjRibZh,https://api.spotify.com/v1/tracks/3dTjTtdewJ6T1Q8VjRibZh,https://api.spotify.com/v1/audio-analysis/3dTjTtdewJ6T1Q8VjRibZh,346107,4
Quincha,Montoya,spotify:track:1ktwwtPkM8yY0LYKRER84S,0.702,0.593,5,-9.75,1,0.0415,0.0177,0.744,0.113,0.623,119.981,audio_features,1ktwwtPkM8yY0LYKRER84S,spotify:track:1ktwwtPkM8yY0LYKRER84S,https://api.spotify.com/v1/tracks/1ktwwtPkM8yY0LYKRER84S,https://api.spotify.com/v1/audio-analysis/1ktwwtPkM8yY0LYKRER84S,393000,4
Rabia,Umoja,spotify:track:3t0jdtXL8Ya9gNaCDPWTjK,0.807,0.538,8,-9.415,0,0.0938,0.00498,0.786,0.0793,0.559,89.995,audio_features,3t0jdtXL8Ya9gNaCDPWTjK,spotify:track:3t0jdtXL8Ya9gNaCDPWTjK,https://api.spotify.com/v1/tracks/3t0jdtXL8Ya9gNaCDPWTjK,https://api.spotify.com/v1/audio-analysis/3t0jdtXL8Ya9gNaCDPWTjK,224000,4
Mi Sueño,Populous,spotify:track:2zvSh7tUDjh574V4U74qMU,0.868,0.652,9,-6.46,0,0.0489,0.155,0.795,0.085,0.601,118.032,audio_features,2zvSh7tUDjh574V4U74qMU,spotify:track:2zvSh7tUDjh574V4U74qMU,https://api.spotify.com/v1/tracks/2zvSh7tUDjh574V4U74qMU,https://api.spotify.com/v1/audio-analysis/2zvSh7tUDjh574V4U74qMU,273966,4
Qhapaq Ñan,Frente Tunupa,spotify:track:57m2EdFh6QMSOyRxBqV7lU,0.608,0.826,1,-9.411,1,0.0796,0.285,0.0536,0.31,0.799,173.99,audio_features,57m2EdFh6QMSOyRxBqV7lU,spotify:track:57m2EdFh6QMSOyRxBqV7lU,https://api.spotify.com/v1/tracks/57m2EdFh6QMSOyRxBqV7lU,https://api.spotify.com/v1/audio-analysis/57m2EdFh6QMSOyRxBqV7lU,215172,4
Ototoa,Malphino,spotify:track:4SEy3HRvR2fB0WvFZzKQpB,0.747,0.598,7,-9.212,0,0.071,0.516,0.00256,0.377,0.806,90.452,audio_features,4SEy3HRvR2fB0WvFZzKQpB,spotify:track:4SEy3HRvR2fB0WvFZzKQpB,https://api.spotify.com/v1/tracks/4SEy3HRvR2fB0WvFZzKQpB,https://api.spotify.com/v1/audio-analysis/4SEy3HRvR2fB0WvFZzKQpB,255533,4
Raíces Profundas,Temoaya,spotify:track:7r5txKc3Ljy1nToNmicID2,0.743,0.53,2,-10.766,1,0.0794,0.142,0.86,0.131,0.381,99.989,audio_features,7r5txKc3Ljy1nToNmicID2,spotify:track:7r5txKc3Ljy1nToNmicID2,https://api.spotify.com/v1/tracks/7r5txKc3Ljy1nToNmicID2,https://api.spotify.com/v1/audio-analysis/7r5txKc3Ljy1nToNmicID2,225600,4
Tecolotin,El Búho,spotify:track:09KSKjuieY3ekdNN2H1jrC,0.709,0.637,3,-8.392,0,0.0509,0.21,0.704,0.171,0.817,171.979,audio_features,09KSKjuieY3ekdNN2H1jrC,spotify:track:09KSKjuieY3ekdNN2H1jrC,https://api.spotify.com/v1/tracks/09KSKjuieY3ekdNN2H1jrC,https://api.spotify.com/v1/audio-analysis/09KSKjuieY3ekdNN2H1jrC,262326,4
